legacy_codigo,cnpj,nome,cidade,estado,telefone,fonte,metodo
021679,04718331000112,SHIRAKURA MATERIAIS DE CONSTRUÇÃO LTDA.,MARINGA,PR,044 32283730,BdGeral.Mdb:Geral,colunas_nomeadas
021680,05074127000179,AÇUCENA MATERIAIS P/ CONSTRUÇÃO LTDA.,DIADEMA,SP,011 40753099,BdGeral.Mdb:Geral,colunas_nomeadas
021681,04691977000153,MARINEIDE APARECIDA ARO GARCIA ITANHAEM M.E.,ITANHAEM,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021684,05325322000124,TIAGO TERNES ANDRIANI.,TIJUCAS,SC,048 32637077,BdGeral.Mdb:Geral,colunas_nomeadas
021685,67396630000106,MILTON SARMENTO DOS ANJOS M.E.,MONTE SIAO,MG,035 34656961,BdGeral.Mdb:Geral,colunas_nomeadas
021686,05263582000112,CONSTRUCOMBEAR COMÉRCIO DE MAT. P/ CONSTR. LTDA.,SARANDI,PR,044 30352130,BdGeral.Mdb:Geral,colunas_nomeadas
021687,02409045000140,JAGUAR CENTER COMERCIAL LTDA.,JAGUARIUNA,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021688,03615716000191,CARREIRA MATERIAIS DE CONSTRUÇÃO LTDA.,BARBOSA FERRAZ,PR,044 32751546,BdGeral.Mdb:Geral,colunas_nomeadas
021689,05161685000171,ARGAHOUSE PRESTADORA DE SERVIÇOS LTDA.,BALNEARIO CAMBORIU,SC,047 33665008,BdGeral.Mdb:Geral,colunas_nomeadas
021691,03191704000187,OSNIR MIGUEL DA SILVA M.E.,PERUIBE,SP,013 99736249,BdGeral.Mdb:Geral,colunas_nomeadas
021692,60885183000100,FÁTIMA REGINA SOUZA DE LIMA M.E.,IPORANGA,SP,015 35882189,BdGeral.Mdb:Geral,colunas_nomeadas
021693,61538351000145,LUÁ LUÁ MATERIAIS PARA CONSTRUÇÃO LTDA.,SAO PAULO,SP,011 55851444,BdGeral.Mdb:Geral,colunas_nomeadas
021694,06013632000176,DANIEL BARBOSA DE ASSIS SILVA M.E.,CUBATAO,SP,013 34644120,BdGeral.Mdb:Geral,colunas_nomeadas
021695,01973640000140,FRIGOARTE MATERIAIS E AC. DE FRIGORIFICO LTDA.,MARINGA,PR,,BdGeral.Mdb:Geral,colunas_nomeadas
021696,04487224000120,CS CARIGNANO MATERIAIS P/ CONSTRUÇÃO LTDA ME.,DIADEMA,SP,011 40923731,BdGeral.Mdb:Geral,colunas_nomeadas
021697,66113507000160,JOSÉ FAUSTINO RODRIGUES FILHO GESSO.,SAO PAULO,SP,011 61630707,BdGeral.Mdb:Geral,colunas_nomeadas
021698,47709233000121,PROGRESSO IND. E COM. LAGES E ART. CIM. LTDA.,DIADEMA,SP,011 40568865,BdGeral.Mdb:Geral,colunas_nomeadas
021700,01008132000122,PAULO DA SILVA ITANHAEM EPP.,ITANHAEM,SP,0013 34269252,BdGeral.Mdb:Geral,colunas_nomeadas
021701,50088244000146,MATERIAIS P/ CONSTRUÇÃO BERNARDIS LTDA.,LINDOIA,SP,019 38983108,BdGeral.Mdb:Geral,colunas_nomeadas
021702,81381758000119,EMPREITEIRA DE OBRAS LEÃO LTDA.,SAO BENTO DO SUL,SC,047 36351250,BdGeral.Mdb:Geral,colunas_nomeadas
021703,00933985000108,HIDROELETRICA COMENIUS LTDA M.E.,SAO PAULO,SP,011 59722112,BdGeral.Mdb:Geral,colunas_nomeadas
021704,02357272000179,IRENILDO FRANCISCO DOS SANTOS,CAMPO MOURAO,PR,044 35234148,BdGeral.Mdb:Geral,colunas_nomeadas
021705,04817332000114,ARCENIO RUIZ ARLINDO EPP.,PERUIBE,SP,013 34582248,BdGeral.Mdb:Geral,colunas_nomeadas
021706,02210927000181,COMERCIAL 2L LTDA.,DIADEMA,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021708,00369428000106,ANTONIOLI COMÉRCIO DE MAT. DE CONSTRUÇÃO LTDA.,CACADOR,SC,049 35632631,BdGeral.Mdb:Geral,colunas_nomeadas
021709,04730808000185,DEPÓSITO STA EDWIRGES MAT. P/ CONSTR. LTDA.,SAO PAULO,SP,011 59218875,BdGeral.Mdb:Geral,colunas_nomeadas
021711,64789340000126,JOÃO HEITOR KIRSCH M.E.,PERUIBE,SP,013 34553147,BdGeral.Mdb:Geral,colunas_nomeadas
021712,05291136000111,MAURO DE OLIVEIRA JUNIOR CONSTRUÇÃO M.E.,SAO BERNARDO DO CAMPO,SP,011 43633673,BdGeral.Mdb:Geral,colunas_nomeadas
021714,04316878000191,EDINO RODRIGUES DOS SANTOS MAT. DE CONST. M.E.,CORUMBATAI DO SUL,PR,044 32771117,BdGeral.Mdb:Geral,colunas_nomeadas
021715,52770336000137,IRMÃOS DE PIERI LTDA.,MOJI MIRIM,SP,019 38063000,BdGeral.Mdb:Geral,colunas_nomeadas
021716,04538713000164,IZAURA ZUAN MARIO M.E.,MARUMBI,PR,043 34411217,BdGeral.Mdb:Geral,colunas_nomeadas
021717,05005294000168,CONSTRU RS MATERIAIS DE CONSTRUÇÃO LTDA M.E.,FLORIANOPOLIS,SC,048 33695100,BdGeral.Mdb:Geral,colunas_nomeadas
021718,04157639000136,DEP. DE MAT. P/ CONSTRUÇÃO MARCHIORETTO LTDA.,ITAPIRA,SP,019 38633512,BdGeral.Mdb:Geral,colunas_nomeadas
021719,81458465000192,RODOCIBRA TRANSPORTES RODOVIÁRIOS LTDA.,COLOMBO,PR,041 36563266,BdGeral.Mdb:Geral,colunas_nomeadas
021720,62172101000105,NOVO BRASIL MATERIAIS PARA CONSTRUÇÃO LTDA.,SAO PAULO,SP,011 55263628,BdGeral.Mdb:Geral,colunas_nomeadas
021721,01261247000124,ITACAL DISTRIBUIDORA DE CAL E CALCÁRIO LTDA.,BRASILIA,DF,061 35521083,BdGeral.Mdb:Geral,colunas_nomeadas
021722,04053541000139,T.M. GRANDO E CIA LTDA.,MARECHAL CANDIDO RONDON,PR,045 32545454,BdGeral.Mdb:Geral,colunas_nomeadas
021723,55411854000152,MATERIAIS DE CONSTR. AGROPEC. TRADIÇÃO LTDA.,ESTIVA GERBI,SP,019 38689444,BdGeral.Mdb:Geral,colunas_nomeadas
021725,46896445005757,FRANGO SERTANEJO LTDA.,GUAPIACU,SP,017 32671405,BdGeral.Mdb:Geral,colunas_nomeadas
021726,46896445006486,FRANGO SERTANEJO LTDA.,SANTA ADELIA,SP,017 35711391,BdGeral.Mdb:Geral,colunas_nomeadas
021727,05275122000104,CONSTRU RHEIN MATERIAIS P/ CONSTRUÇÃO LTDA M.E.,DIADEMA,SP,011 40574286,BdGeral.Mdb:Geral,colunas_nomeadas
021728,05283210000158,REYSUL MATERIAL DE CONSTRUÇÃO LTDA EPP,PERUIBE,SP,013 34514000,BdGeral.Mdb:Geral,colunas_nomeadas
021729,52953494000122,ABRACOR COMERCIAL LTDA.,CAMPINAS,SP,019 32326688,BdGeral.Mdb:Geral,colunas_nomeadas
021730,46896445006567,FRANGO SERTANEJO LTDA.,SERTAOZINHO,SP,016 36423208,BdGeral.Mdb:Geral,colunas_nomeadas
021731,79358719000159,MANOEL ANTONIO VINHAIS.,ATALAIA,PR,044 32541232,BdGeral.Mdb:Geral,colunas_nomeadas
021732,02058235000160,COMERCIO DE MATERIAIS PARA CONSTRUCAO PAULINA LTDA,DIADEMA,SP,011 40593566,BdGeral.Mdb:Geral,colunas_nomeadas
021733,04326822000118,DEVAIR DE GODOI ABREU M.E.,MARINGA,PR,044 32761616,BdGeral.Mdb:Geral,colunas_nomeadas
021736,05292600000194,FALCIER E CIA LTDA.,CIANORTE,PR,044 36293390,BdGeral.Mdb:Geral,colunas_nomeadas
021741,05481058000118,NOSSO TETO DE MIRACATU COM. MAT. P/ CONSTR. LTDA.,MIRACATU,SP,013 68473475,BdGeral.Mdb:Geral,colunas_nomeadas
021742,03473729000173,GINA APARECIDA PICELI DA SILVA.,CURITIBA,PR,041 32899830,BdGeral.Mdb:Geral,colunas_nomeadas
021743,01452567000161,PORTAL SÃO FERNANDO MATERIAIS P/ CONSTR. LTDA.,COTIA,SP,011 47026508,BdGeral.Mdb:Geral,colunas_nomeadas
021744,04465707000124,ELO MATERIAIS PARA CONSTRUÇÃO LTDA.,CATALAO,GO,064 34423950,BdGeral.Mdb:Geral,colunas_nomeadas
021745,04844358000151,TITO MATERIAIS DE CONSTRUÇÃO LTDA.,ITAPEMA,SC,047 33689501,BdGeral.Mdb:Geral,colunas_nomeadas
021746,04670960000110,MARBELO EMPREENDIMENTOS IMOBILIÁRIOS LTDA.,PRAIA GRANDE,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021747,60739414000320,BONETTO MATERIAIS P/ CONSTRUÇÃO LTDA.,JAGUARIUNA,SP,019 38675650,BdGeral.Mdb:Geral,colunas_nomeadas
021748,64825466000109,OSMYDIO LÁZARO CERCHIARE E CIA LTDA.,SANTA BARBARA DO OESTE,SP,019 34551658,BdGeral.Mdb:Geral,colunas_nomeadas
021749,02578518000132,M.J. CONSTRUÇÕES CIVIS LTDA.,GOIOERE,PR,044 3521777,BdGeral.Mdb:Geral,colunas_nomeadas
021750,03218528000120,MIRIAM ALVES DA SILVA DELALANA M.E.,ITAPIRA,SP,019 38637653,BdGeral.Mdb:Geral,colunas_nomeadas
021751,61602199021039,CIA ULTRAGAZ S/A.,CASCAVEL,PR,045 32256644,BdGeral.Mdb:Geral,colunas_nomeadas
